group	x	xend
1	69.9539025	69.9539025
2	2.2157475	2.2157475
3	69.9539025	69.9539025
4	2.2157475	2.2157475
5	37.4759135	37.4759135
6	69.9539025	69.9539025
7	2.2157475	2.2157475
8	29.3521765	29.3521765
9	29.9905805	29.9905805
10	69.9539025	69.9539025
11	2.2157475	2.2157475
12	12.7438475	12.7438475
13	18.2514195	18.2514195
14	37.4759135	37.4759135
15	69.9539025	69.9539025
16	2.2157475	2.2157475
17	12.7438475	12.7438475
18	18.2514195	18.2514195
19	37.4759135	37.4759135
20	38.8143905	38.8143905
21	69.9539025	69.9539025
22	2.2157475	2.2157475
23	12.7438475	12.7438475
24	18.2514195	18.2514195
25	37.4759135	37.4759135
26	69.9539025	69.9539025
27	114.2750635	114.2750635
28	116.2327125	116.2327125
29	2.2157475	2.2157475
30	12.7438475	12.7438475
31	18.2514195	18.2514195
32	37.4759135	37.4759135
33	38.8143905	38.8143905
34	69.9539025	69.9539025
35	114.2750635	114.2750635
36	116.2327125	116.2327125
37	2.2157475	2.2157475
38	12.7438475	12.7438475
39	18.2514195	18.2514195
40	37.4759135	37.4759135
41	44.8900195	44.8900195
42	46.6567065	46.6567065
43	69.9539025	69.9539025
44	114.2750635	114.2750635
45	116.2327125	116.2327125
46	2.2157475	2.2157475
47	12.7438475	12.7438475
48	18.2514195	18.2514195
49	37.4759135	37.4759135
50	44.8900195	44.8900195
51	46.6567065	46.6567065
52	47.5179695	47.5179695
53	69.9539025	69.9539025
54	114.2750635	114.2750635
55	116.2327125	116.2327125
56	2.2157475	2.2157475
57	12.7438475	12.7438475
58	18.2514195	18.2514195
59	37.4759135	37.4759135
60	39.7701675	39.7701675
61	40.5368585	40.5368585
62	44.8900195	44.8900195
63	46.6567065	46.6567065
64	69.9539025	69.9539025
65	114.2750635	114.2750635
66	116.2327125	116.2327125
67	2.2157475	2.2157475
68	12.7438475	12.7438475
69	18.2514195	18.2514195
70	37.4759135	37.4759135
71	39.7701675	39.7701675
72	40.5368585	40.5368585
73	44.8900195	44.8900195
74	46.6567065	46.6567065
75	47.5179695	47.5179695
76	69.9539025	69.9539025
77	114.2750635	114.2750635
78	116.2327125	116.2327125
79	2.2157475	2.2157475
80	29.3521765	29.3521765
81	29.9905805	29.9905805
82	31.3760565	31.3760565
83	37.4759135	37.4759135
84	39.7701675	39.7701675
85	40.5368585	40.5368585
86	44.8900195	44.8900195
87	46.6567065	46.6567065
88	47.5179695	47.5179695
89	69.9539025	69.9539025
90	114.2750635	114.2750635
91	116.2327125	116.2327125
92	2.2157475	2.2157475
93	12.7438475	12.7438475
94	18.2514195	18.2514195
95	30.6934125	30.6934125
96	31.3760565	31.3760565
97	37.4759135	37.4759135
98	39.7701675	39.7701675
99	40.5368585	40.5368585
100	44.8900195	44.8900195
101	46.6567065	46.6567065
102	47.5179695	47.5179695
103	69.9539025	69.9539025
104	114.2750635	114.2750635
105	116.2327125	116.2327125
106	2.2157475	2.2157475
107	12.7438475	12.7438475
108	18.2514195	18.2514195
109	29.3521765	29.3521765
110	29.9905805	29.9905805
111	31.3760565	31.3760565
112	37.4759135	37.4759135
113	39.7701675	39.7701675
114	40.5368585	40.5368585
115	44.8900195	44.8900195
116	46.6567065	46.6567065
117	47.5179695	47.5179695
118	69.9539025	69.9539025
119	114.2750635	114.2750635
120	116.2327125	116.2327125
121	2.2157475	2.2157475
122	12.7438475	12.7438475
123	18.2514195	18.2514195
124	29.3521765	29.3521765
125	29.9905805	29.9905805
126	30.6934125	30.6934125
127	31.3760565	31.3760565
128	37.4759135	37.4759135
129	39.7701675	39.7701675
130	40.5368585	40.5368585
131	44.8900195	44.8900195
132	46.6567065	46.6567065
133	47.5179695	47.5179695
134	69.9539025	69.9539025
135	114.2750635	114.2750635
136	116.2327125	116.2327125
137	2.2157475	2.2157475
138	9.8147825	9.8147825
139	12.7438475	12.7438475
140	18.2514195	18.2514195
141	29.3521765	29.3521765
142	29.9905805	29.9905805
143	30.6934125	30.6934125
144	31.3760565	31.3760565
145	37.4759135	37.4759135
146	39.7701675	39.7701675
147	40.5368585	40.5368585
148	44.8900195	44.8900195
149	46.6567065	46.6567065
150	47.5179695	47.5179695
151	69.9539025	69.9539025
152	114.2750635	114.2750635
153	116.2327125	116.2327125
154	2.2157475	2.2157475
155	9.8147825	9.8147825
156	12.7438475	12.7438475
157	18.2514195	18.2514195
158	21.7892915	21.7892915
159	29.3521765	29.3521765
160	29.9905805	29.9905805
161	30.6934125	30.6934125
162	31.3760565	31.3760565
163	37.4759135	37.4759135
164	39.7701675	39.7701675
165	40.5368585	40.5368585
166	44.8900195	44.8900195
167	46.6567065	46.6567065
168	47.5179695	47.5179695
169	69.9539025	69.9539025
170	114.2750635	114.2750635
171	116.2327125	116.2327125
172	0.9299265	0.9299265
173	2.2157475	2.2157475
174	9.8147825	9.8147825
175	12.7438475	12.7438475
176	18.2514195	18.2514195
177	21.7892915	21.7892915
178	29.3521765	29.3521765
179	29.9905805	29.9905805
180	30.6934125	30.6934125
181	31.3760565	31.3760565
182	37.4759135	37.4759135
183	39.7701675	39.7701675
184	40.5368585	40.5368585
185	44.8900195	44.8900195
186	46.6567065	46.6567065
187	47.5179695	47.5179695
188	69.9539025	69.9539025
189	114.2750635	114.2750635
190	116.2327125	116.2327125
