group	x	xend
1	2.7791455	2.7791455
2	42.2474885	42.2474885
3	66.7932835	66.7932835
4	42.2474885	42.2474885
5	66.3251155	66.3251155
6	66.7932835	66.7932835
7	42.2474885	42.2474885
8	65.2327755	65.2327755
9	65.8962095	65.8962095
10	66.7932835	66.7932835
11	2.7791455	2.7791455
12	42.2474885	42.2474885
13	65.2327755	65.2327755
14	65.8962095	65.8962095
15	66.7932835	66.7932835
16	2.7791455	2.7791455
17	42.2474885	42.2474885
18	65.2327755	65.2327755
19	65.8962095	65.8962095
20	66.7932835	66.7932835
21	105.5272305	105.5272305
22	33.2549545	33.2549545
23	34.4591305	34.4591305
24	42.2474885	42.2474885
25	65.2327755	65.2327755
26	65.8962095	65.8962095
27	66.7932835	66.7932835
28	105.5272305	105.5272305
29	33.2549545	33.2549545
30	34.4591305	34.4591305
31	39.2336175	39.2336175
32	42.2474885	42.2474885
33	65.2327755	65.2327755
34	65.8962095	65.8962095
35	66.7932835	66.7932835
36	105.5272305	105.5272305
37	2.7791455	2.7791455
38	33.2549545	33.2549545
39	34.4591305	34.4591305
40	39.2336175	39.2336175
41	42.2474885	42.2474885
42	65.2327755	65.2327755
43	65.8962095	65.8962095
44	66.7932835	66.7932835
45	105.5272305	105.5272305
46	33.2549545	33.2549545
47	34.4591305	34.4591305
48	39.2336175	39.2336175
49	42.2474885	42.2474885
50	65.2327755	65.2327755
51	65.8962095	65.8962095
52	66.7932835	66.7932835
53	125.8008965	125.8008965
54	127.2988755	127.2988755
55	130.6852725	130.6852725
56	2.7791455	2.7791455
57	33.2549545	33.2549545
58	34.4591305	34.4591305
59	39.2336175	39.2336175
60	42.2474885	42.2474885
61	65.2327755	65.2327755
62	65.8962095	65.8962095
63	66.7932835	66.7932835
64	125.8008965	125.8008965
65	127.2988755	127.2988755
66	130.6852725	130.6852725
67	2.7791455	2.7791455
68	33.2549545	33.2549545
69	34.4591305	34.4591305
70	39.2336175	39.2336175
71	42.2474885	42.2474885
72	65.2327755	65.2327755
73	65.8962095	65.8962095
74	66.7932835	66.7932835
75	105.5272305	105.5272305
76	125.8008965	125.8008965
77	127.2988755	127.2988755
78	130.6852725	130.6852725
79	2.7791455	2.7791455
80	22.8102895	22.8102895
81	24.2058575	24.2058575
82	33.2549545	33.2549545
83	34.4591305	34.4591305
84	39.2336175	39.2336175
85	42.2474885	42.2474885
86	65.2327755	65.2327755
87	65.8962095	65.8962095
88	66.7932835	66.7932835
89	125.8008965	125.8008965
90	127.2988755	127.2988755
91	130.6852725	130.6852725
92	2.7791455	2.7791455
93	22.8102895	22.8102895
94	24.2058575	24.2058575
95	33.2549545	33.2549545
96	34.4591305	34.4591305
97	39.2336175	39.2336175
98	42.2474885	42.2474885
99	65.2327755	65.2327755
100	65.8962095	65.8962095
101	66.7932835	66.7932835
102	105.5272305	105.5272305
103	125.8008965	125.8008965
104	127.2988755	127.2988755
105	130.6852725	130.6852725
106	2.7791455	2.7791455
107	33.2549545	33.2549545
108	34.4591305	34.4591305
109	39.2336175	39.2336175
110	42.2474885	42.2474885
111	65.2327755	65.2327755
112	65.8962095	65.8962095
113	66.7932835	66.7932835
114	89.0318915	89.0318915
115	90.3878815	90.3878815
116	91.1396925	91.1396925
117	105.5272305	105.5272305
118	125.8008965	125.8008965
119	127.2988755	127.2988755
120	130.6852725	130.6852725
121	2.7791455	2.7791455
122	22.8102895	22.8102895
123	24.2058575	24.2058575
124	33.2549545	33.2549545
125	34.4591305	34.4591305
126	39.2336175	39.2336175
127	42.2474885	42.2474885
128	65.2327755	65.2327755
129	65.8962095	65.8962095
130	66.7932835	66.7932835
131	89.0318915	89.0318915
132	90.3878815	90.3878815
133	91.1396925	91.1396925
134	125.8008965	125.8008965
135	127.2988755	127.2988755
136	130.6852725	130.6852725
137	2.7791455	2.7791455
138	22.8102895	22.8102895
139	24.2058575	24.2058575
140	33.2549545	33.2549545
141	34.4591305	34.4591305
142	39.2336175	39.2336175
143	42.2474885	42.2474885
144	65.2327755	65.2327755
145	65.8962095	65.8962095
146	66.7932835	66.7932835
147	89.0318915	89.0318915
148	90.3878815	90.3878815
149	91.1396925	91.1396925
150	105.5272305	105.5272305
151	125.8008965	125.8008965
152	127.2988755	127.2988755
153	130.6852725	130.6852725
154	2.7791455	2.7791455
155	22.8102895	22.8102895
156	24.2058575	24.2058575
157	33.2549545	33.2549545
158	34.4591305	34.4591305
159	39.2336175	39.2336175
160	42.2474885	42.2474885
161	65.2327755	65.2327755
162	65.8962095	65.8962095
163	66.3251155	66.3251155
164	66.7932835	66.7932835
165	89.0318915	89.0318915
166	90.3878815	90.3878815
167	91.1396925	91.1396925
168	105.5272305	105.5272305
169	125.8008965	125.8008965
170	127.2988755	127.2988755
171	130.6852725	130.6852725
172	2.7791455	2.7791455
173	22.8102895	22.8102895
174	24.2058575	24.2058575
175	33.2549545	33.2549545
176	34.4591305	34.4591305
177	39.2336175	39.2336175
178	42.2474885	42.2474885
179	65.2327755	65.2327755
180	65.8962095	65.8962095
181	66.3251155	66.3251155
182	66.7932835	66.7932835
183	89.0318915	89.0318915
184	90.3878815	90.3878815
185	91.1396925	91.1396925
186	97.1436505	97.1436505
187	98.1747685	98.1747685
188	125.8008965	125.8008965
189	127.2988755	127.2988755
190	130.6852725	130.6852725
