group	x	xend
1	139.1335145	139.1335145
2	44.9767385	44.9767385
3	47.4257565	47.4257565
4	44.9767385	44.9767385
5	47.4257565	47.4257565
6	139.1335145	139.1335145
7	37.3378335	37.3378335
8	44.9767385	44.9767385
9	47.4257565	47.4257565
10	139.1335145	139.1335145
11	23.9470165	23.9470165
12	37.3378335	37.3378335
13	44.9767385	44.9767385
14	47.4257565	47.4257565
15	139.1335145	139.1335145
16	23.9470165	23.9470165
17	37.3378335	37.3378335
18	39.0803165	39.0803165
19	44.9767385	44.9767385
20	47.4257565	47.4257565
21	139.1335145	139.1335145
22	2.4423015	2.4423015
23	25.5803905	25.5803905
24	37.3378335	37.3378335
25	39.0803165	39.0803165
26	44.9767385	44.9767385
27	47.4257565	47.4257565
28	139.1335145	139.1335145
29	0.9476345	0.9476345
30	2.4423015	2.4423015
31	25.5803905	25.5803905
32	37.3378335	37.3378335
33	39.0803165	39.0803165
34	44.9767385	44.9767385
35	47.4257565	47.4257565
36	139.1335145	139.1335145
37	2.4423015	2.4423015
38	25.5803905	25.5803905
39	37.3378335	37.3378335
40	39.0803165	39.0803165
41	44.9767385	44.9767385
42	47.4257565	47.4257565
43	128.6921785	128.6921785
44	131.6270055	131.6270055
45	139.1335145	139.1335145
46	0.9476345	0.9476345
47	2.4423015	2.4423015
48	25.5803905	25.5803905
49	37.3378335	37.3378335
50	39.0803165	39.0803165
51	44.9767385	44.9767385
52	47.4257565	47.4257565
53	128.6921785	128.6921785
54	131.6270055	131.6270055
55	139.1335145	139.1335145
56	0.9476345	0.9476345
57	2.4423015	2.4423015
58	21.8176245	21.8176245
59	23.9470165	23.9470165
60	37.3378335	37.3378335
61	39.0803165	39.0803165
62	44.9767385	44.9767385
63	47.4257565	47.4257565
64	128.6921785	128.6921785
65	131.6270055	131.6270055
66	139.1335145	139.1335145
67	0.9476345	0.9476345
68	2.4423015	2.4423015
69	21.8176245	21.8176245
70	23.9470165	23.9470165
71	37.3378335	37.3378335
72	39.0803165	39.0803165
73	44.9767385	44.9767385
74	47.4257565	47.4257565
75	128.6921785	128.6921785
76	131.6270055	131.6270055
77	139.1335145	139.1335145
78	144.6543435	144.6543435
79	0.9476345	0.9476345
80	2.4423015	2.4423015
81	21.8176245	21.8176245
82	23.9470165	23.9470165
83	37.3378335	37.3378335
84	39.0803165	39.0803165
85	44.9767385	44.9767385
86	47.4257565	47.4257565
87	112.9072335	112.9072335
88	115.1839055	115.1839055
89	128.6921785	128.6921785
90	131.6270055	131.6270055
91	139.1335145	139.1335145
92	0.9476345	0.9476345
93	2.4423015	2.4423015
94	21.8176245	21.8176245
95	23.9470165	23.9470165
96	37.3378335	37.3378335
97	39.0803165	39.0803165
98	44.9767385	44.9767385
99	47.4257565	47.4257565
100	112.9072335	112.9072335
101	115.1839055	115.1839055
102	128.6921785	128.6921785
103	131.6270055	131.6270055
104	139.1335145	139.1335145
105	144.6543435	144.6543435
106	0.9476345	0.9476345
107	2.4423015	2.4423015
108	21.8176245	21.8176245
109	23.9470165	23.9470165
110	32.6284035	32.6284035
111	32.9851025	32.9851025
112	37.3378335	37.3378335
113	39.0803165	39.0803165
114	44.9767385	44.9767385
115	47.4257565	47.4257565
116	112.9072335	112.9072335
117	115.1839055	115.1839055
118	128.6921785	128.6921785
119	131.6270055	131.6270055
120	139.1335145	139.1335145
121	0.9476345	0.9476345
122	2.4423015	2.4423015
123	21.8176245	21.8176245
124	23.9470165	23.9470165
125	32.6284035	32.6284035
126	32.9851025	32.9851025
127	37.3378335	37.3378335
128	39.0803165	39.0803165
129	44.9767385	44.9767385
130	47.4257565	47.4257565
131	112.9072335	112.9072335
132	115.1839055	115.1839055
133	128.6921785	128.6921785
134	131.6270055	131.6270055
135	139.1335145	139.1335145
136	144.6543435	144.6543435
137	0.9476345	0.9476345
138	2.4423015	2.4423015
139	21.8176245	21.8176245
140	23.9470165	23.9470165
141	32.6284035	32.6284035
142	32.9851025	32.9851025
143	37.3378335	37.3378335
144	39.0803165	39.0803165
145	42.4203975	42.4203975
146	44.9767385	44.9767385
147	47.4257565	47.4257565
148	112.9072335	112.9072335
149	115.1839055	115.1839055
150	128.6921785	128.6921785
151	131.6270055	131.6270055
152	139.1335145	139.1335145
153	144.6543435	144.6543435
154	0.9476345	0.9476345
155	2.4423015	2.4423015
156	21.8176245	21.8176245
157	22.4095735	22.4095735
158	23.9470165	23.9470165
159	32.6284035	32.6284035
160	32.9851025	32.9851025
161	37.3378335	37.3378335
162	39.0803165	39.0803165
163	42.4203975	42.4203975
164	44.9767385	44.9767385
165	47.4257565	47.4257565
166	112.9072335	112.9072335
167	115.1839055	115.1839055
168	128.6921785	128.6921785
169	131.6270055	131.6270055
170	139.1335145	139.1335145
171	144.6543435	144.6543435
172	0.9476345	0.9476345
173	2.4423015	2.4423015
174	21.8176245	21.8176245
175	22.4095735	22.4095735
176	23.9470165	23.9470165
177	32.6284035	32.6284035
178	32.9851025	32.9851025
179	37.3378335	37.3378335
180	39.0803165	39.0803165
181	42.4203975	42.4203975
182	44.9767385	44.9767385
183	47.4257565	47.4257565
184	112.9072335	112.9072335
185	115.1839055	115.1839055
186	128.6921785	128.6921785
187	131.6270055	131.6270055
188	137.7473455	137.7473455
189	139.1335145	139.1335145
190	144.6543435	144.6543435
