group	x	xend
1	231.4585615	231.4585615
2	132.7035095	132.7035095
3	231.4585615	231.4585615
4	127.3878285	127.3878285
5	132.7035095	132.7035095
6	231.4585615	231.4585615
7	86.0999865	86.0999865
8	87.7106665	87.7106665
9	132.7035095	132.7035095
10	231.4585615	231.4585615
11	4.5028575	4.5028575
12	86.0999865	86.0999865
13	87.7106665	87.7106665
14	132.7035095	132.7035095
15	231.4585615	231.4585615
16	4.5028575	4.5028575
17	86.0999865	86.0999865
18	87.7106665	87.7106665
19	127.3878285	127.3878285
20	132.7035095	132.7035095
21	231.4585615	231.4585615
22	4.5028575	4.5028575
23	86.0999865	86.0999865
24	87.7106665	87.7106665
25	99.4964625	99.4964625
26	127.3878285	127.3878285
27	132.7035095	132.7035095
28	231.4585615	231.4585615
29	4.5028575	4.5028575
30	86.0999865	86.0999865
31	87.7106665	87.7106665
32	99.4964625	99.4964625
33	127.3878285	127.3878285
34	127.8624965	127.8624965
35	132.7035095	132.7035095
36	231.4585615	231.4585615
37	4.5028575	4.5028575
38	71.5388585	71.5388585
39	73.9532855	73.9532855
40	86.0999865	86.0999865
41	87.7106665	87.7106665
42	99.4964625	99.4964625
43	127.3878285	127.3878285
44	132.7035095	132.7035095
45	231.4585615	231.4585615
46	4.5028575	4.5028575
47	71.5388585	71.5388585
48	73.9532855	73.9532855
49	86.0999865	86.0999865
50	87.7106665	87.7106665
51	99.4964625	99.4964625
52	127.3878285	127.3878285
53	127.8624965	127.8624965
54	132.7035095	132.7035095
55	231.4585615	231.4585615
56	4.5028575	4.5028575
57	24.9251815	24.9251815
58	28.9706765	28.9706765
59	71.5388585	71.5388585
60	73.9532855	73.9532855
61	86.0999865	86.0999865
62	87.7106665	87.7106665
63	99.4964625	99.4964625
64	127.3878285	127.3878285
65	132.7035095	132.7035095
66	231.4585615	231.4585615
67	4.5028575	4.5028575
68	24.9251815	24.9251815
69	28.9706765	28.9706765
70	71.5388585	71.5388585
71	73.9532855	73.9532855
72	86.0999865	86.0999865
73	87.7106665	87.7106665
74	99.4964625	99.4964625
75	127.3878285	127.3878285
76	127.8624965	127.8624965
77	132.7035095	132.7035095
78	231.4585615	231.4585615
79	4.5028575	4.5028575
80	24.9251815	24.9251815
81	28.9706765	28.9706765
82	71.5388585	71.5388585
83	73.9532855	73.9532855
84	86.0999865	86.0999865
85	87.7106665	87.7106665
86	99.4964625	99.4964625
87	127.3878285	127.3878285
88	127.8624965	127.8624965
89	132.7035095	132.7035095
90	231.4585615	231.4585615
91	236.7341795	236.7341795
92	4.5028575	4.5028575
93	24.9251815	24.9251815
94	28.9706765	28.9706765
95	71.5388585	71.5388585
96	73.9532855	73.9532855
97	86.0999865	86.0999865
98	87.7106665	87.7106665
99	96.8091055	96.8091055
100	98.0611735	98.0611735
101	127.3878285	127.3878285
102	127.8624965	127.8624965
103	132.7035095	132.7035095
104	231.4585615	231.4585615
105	236.7341795	236.7341795
106	4.5028575	4.5028575
107	24.9251815	24.9251815
108	28.9706765	28.9706765
109	71.5388585	71.5388585
110	73.9532855	73.9532855
111	86.0999865	86.0999865
112	87.7106665	87.7106665
113	96.8091055	96.8091055
114	98.0611735	98.0611735
115	127.3878285	127.3878285
116	127.8624965	127.8624965
117	130.7665155	130.7665155
118	131.5885955	131.5885955
119	231.4585615	231.4585615
120	236.7341795	236.7341795
121	4.5028575	4.5028575
122	24.9251815	24.9251815
123	28.9706765	28.9706765
124	71.5388585	71.5388585
125	73.9532855	73.9532855
126	86.0999865	86.0999865
127	87.7106665	87.7106665
128	96.8091055	96.8091055
129	98.0611735	98.0611735
130	127.3878285	127.3878285
131	127.8624965	127.8624965
132	132.7035095	132.7035095
133	187.2033345	187.2033345
134	188.4494595	188.4494595
135	231.4585615	231.4585615
136	236.7341795	236.7341795
137	4.5028575	4.5028575
138	24.9251815	24.9251815
139	28.9706765	28.9706765
140	71.5388585	71.5388585
141	73.9532855	73.9532855
142	86.0999865	86.0999865
143	87.7106665	87.7106665
144	96.8091055	96.8091055
145	98.0611735	98.0611735
146	127.3878285	127.3878285
147	127.8624965	127.8624965
148	130.7665155	130.7665155
149	131.5885955	131.5885955
150	187.2033345	187.2033345
151	188.4494595	188.4494595
152	231.4585615	231.4585615
153	236.7341795	236.7341795
154	4.5028575	4.5028575
155	24.9251815	24.9251815
156	28.9706765	28.9706765
157	71.5388585	71.5388585
158	73.9532855	73.9532855
159	86.0999865	86.0999865
160	87.7106665	87.7106665
161	96.8091055	96.8091055
162	98.0611735	98.0611735
163	121.2175135	121.2175135
164	122.8868105	122.8868105
165	127.3878285	127.3878285
166	127.8624965	127.8624965
167	132.7035095	132.7035095
168	187.2033345	187.2033345
169	188.4494595	188.4494595
170	231.4585615	231.4585615
171	236.7341795	236.7341795
172	4.5028575	4.5028575
173	24.9251815	24.9251815
174	28.9706765	28.9706765
175	71.5388585	71.5388585
176	73.9532855	73.9532855
177	86.0999865	86.0999865
178	87.7106665	87.7106665
179	96.8091055	96.8091055
180	98.0611735	98.0611735
181	121.2175135	121.2175135
182	122.8868105	122.8868105
183	127.3878285	127.3878285
184	127.8624965	127.8624965
185	130.7665155	130.7665155
186	131.5885955	131.5885955
187	187.2033345	187.2033345
188	188.4494595	188.4494595
189	231.4585615	231.4585615
190	236.7341795	236.7341795
