group	x	xend
1	60.3815305	60.3815305
2	60.3815305	60.3815305
3	148.1877815	148.1877815
4	55.2448415	55.2448415
5	64.1759375	64.1759375
6	148.1877815	148.1877815
7	60.3815305	60.3815305
8	98.1834835	98.1834835
9	99.8270215	99.8270215
10	148.1877815	148.1877815
11	55.2448415	55.2448415
12	64.1759375	64.1759375
13	98.1834835	98.1834835
14	99.8270215	99.8270215
15	148.1877815	148.1877815
16	55.2448415	55.2448415
17	64.1759375	64.1759375
18	97.2098965	97.2098965
19	98.1834835	98.1834835
20	99.8270215	99.8270215
21	148.1877815	148.1877815
22	55.2448415	55.2448415
23	64.1759375	64.1759375
24	97.2098965	97.2098965
25	98.1834835	98.1834835
26	99.8270215	99.8270215
27	148.1877815	148.1877815
28	150.1244145	150.1244145
29	42.9947915	42.9947915
30	44.3430635	44.3430635
31	55.2448415	55.2448415
32	64.1759375	64.1759375
33	97.2098965	97.2098965
34	98.1834835	98.1834835
35	99.8270215	99.8270215
36	148.1877815	148.1877815
37	14.7761035	14.7761035
38	42.9947915	42.9947915
39	44.3430635	44.3430635
40	55.2448415	55.2448415
41	64.1759375	64.1759375
42	97.2098965	97.2098965
43	98.1834835	98.1834835
44	99.8270215	99.8270215
45	148.1877815	148.1877815
46	14.7761035	14.7761035
47	42.9947915	42.9947915
48	44.3430635	44.3430635
49	55.2448415	55.2448415
50	64.1759375	64.1759375
51	97.2098965	97.2098965
52	98.1834835	98.1834835
53	99.8270215	99.8270215
54	148.1877815	148.1877815
55	150.1244145	150.1244145
56	14.7761035	14.7761035
57	42.9947915	42.9947915
58	44.3430635	44.3430635
59	55.2448415	55.2448415
60	64.1759375	64.1759375
61	97.2098965	97.2098965
62	98.1834835	98.1834835
63	99.8270215	99.8270215
64	102.2143105	102.2143105
65	103.2339725	103.2339725
66	148.1877815	148.1877815
67	14.7761035	14.7761035
68	42.9947915	42.9947915
69	44.3430635	44.3430635
70	55.2448415	55.2448415
71	64.1759375	64.1759375
72	97.2098965	97.2098965
73	98.1834835	98.1834835
74	99.8270215	99.8270215
75	102.2143105	102.2143105
76	103.2339725	103.2339725
77	148.1877815	148.1877815
78	150.1244145	150.1244145
79	14.7761035	14.7761035
80	24.9494925	24.9494925
81	42.9947915	42.9947915
82	44.3430635	44.3430635
83	55.2448415	55.2448415
84	64.1759375	64.1759375
85	97.2098965	97.2098965
86	98.1834835	98.1834835
87	99.8270215	99.8270215
88	102.2143105	102.2143105
89	103.2339725	103.2339725
90	148.1877815	148.1877815
91	150.1244145	150.1244145
92	14.7761035	14.7761035
93	24.9494925	24.9494925
94	42.9947915	42.9947915
95	44.3430635	44.3430635
96	55.2448415	55.2448415
97	64.1759375	64.1759375
98	97.2098965	97.2098965
99	98.1834835	98.1834835
100	99.8270215	99.8270215
101	102.2143105	102.2143105
102	103.2339725	103.2339725
103	143.0964375	143.0964375
104	148.1877815	148.1877815
105	150.1244145	150.1244145
106	14.7761035	14.7761035
107	24.9494925	24.9494925
108	42.9947915	42.9947915
109	44.3430635	44.3430635
110	55.2448415	55.2448415
111	64.1759375	64.1759375
112	75.9875225	75.9875225
113	97.2098965	97.2098965
114	98.1834835	98.1834835
115	99.8270215	99.8270215
116	102.2143105	102.2143105
117	103.2339725	103.2339725
118	143.0964375	143.0964375
119	148.1877815	148.1877815
120	150.1244145	150.1244145
121	14.7761035	14.7761035
122	24.9494925	24.9494925
123	42.9947915	42.9947915
124	44.3430635	44.3430635
125	55.2448415	55.2448415
126	64.1759375	64.1759375
127	75.9875225	75.9875225
128	97.2098965	97.2098965
129	98.1834835	98.1834835
130	99.8270215	99.8270215
131	102.2143105	102.2143105
132	103.2339725	103.2339725
133	143.0964375	143.0964375
134	144.4822855	144.4822855
135	148.1877815	148.1877815
136	150.1244145	150.1244145
137	14.7761035	14.7761035
138	26.3357965	26.3357965
139	27.6658355	27.6658355
140	42.9947915	42.9947915
141	44.3430635	44.3430635
142	55.2448415	55.2448415
143	64.1759375	64.1759375
144	75.9875225	75.9875225
145	97.2098965	97.2098965
146	98.1834835	98.1834835
147	99.8270215	99.8270215
148	102.2143105	102.2143105
149	103.2339725	103.2339725
150	143.0964375	143.0964375
151	144.4822855	144.4822855
152	148.1877815	148.1877815
153	150.1244145	150.1244145
154	9.8506445	9.8506445
155	13.0675305	13.0675305
156	14.7761035	14.7761035
157	24.9494925	24.9494925
158	42.9947915	42.9947915
159	44.3430635	44.3430635
160	55.2448415	55.2448415
161	64.1759375	64.1759375
162	75.9875225	75.9875225
163	97.2098965	97.2098965
164	98.1834835	98.1834835
165	99.8270215	99.8270215
166	102.2143105	102.2143105
167	103.2339725	103.2339725
168	143.0964375	143.0964375
169	144.4822855	144.4822855
170	148.1877815	148.1877815
171	150.1244145	150.1244145
172	6.9415125	6.9415125
173	8.4892035	8.4892035
174	9.8506445	9.8506445
175	13.0675305	13.0675305
176	14.7761035	14.7761035
177	24.9494925	24.9494925
178	42.9947915	42.9947915
179	44.3430635	44.3430635
180	55.2448415	55.2448415
181	64.1759375	64.1759375
182	75.9875225	75.9875225
183	97.2098965	97.2098965
184	98.1834835	98.1834835
185	99.8270215	99.8270215
186	102.2143105	102.2143105
187	103.2339725	103.2339725
188	143.0964375	143.0964375
189	148.1877815	148.1877815
190	150.1244145	150.1244145
