x	y	group	clickSelects	PANEL
1	16.5240563029823	1	4.2	2
2	9.63936372901489	1	4.2	2
3	5.63224372824313	1	4.2	2
4	2.51660952730291	1	4.2	2
5	2.26123804192604	1	4.2	2
6	2.16115897436405	1	4.2	2
7	2.05432814885242	1	4.2	2
8	1.98762487019739	1	4.2	2
9	1.92870847040034	1	4.2	2
10	1.87102349785203	1	4.2	2
11	1.81210709805498	1	4.2	2
12	1.75606032064641	1	4.2	2
13	1.69848306821824	1	4.2	2
14	1.64243629080967	1	4.2	2
15	1.59269492262985	1	4.2	2
16	1.5542368434104	1	4.2	2
17	1.52346704688631	1	4.2	2
18	1.48217306981927	1	4.2	2
19	1.44371499059982	1	4.2	2
20	1.41546421596489	1	4.2	2
1	11.3359644842234	2	11.2	2
2	10.0375871741068	2	11.2	2
3	8.99486667663325	2	11.2	2
4	8.45350149713095	2	11.2	2
5	7.72796184177524	2	11.2	2
6	7.13999394429042	2	11.2	2
7	6.7177611517726	2	11.2	2
8	6.388019033336	2	11.2	2
9	6.06902284787903	2	11.2	2
10	5.80984048212601	2	11.2	2
11	5.49084429666904	2	11.2	2
12	5.1843318287132	2	11.2	2
13	4.86533564325623	2	11.2	2
14	4.61666851144501	2	11.2	2
15	4.39773019609006	2	11.2	2
16	4.28406045704597	2	11.2	2
17	4.14739086416103	2	11.2	2
18	4.03508579242905	2	11.2	2
19	3.90831668870414	2	11.2	2
20	3.79601161697216	2	11.2	2
1	12.1503917528728	3	4.3	2
2	2.4434287425068	3	4.3	2
3	2.31208859621962	3	4.3	2
4	2.25995753060776	3	4.3	2
5	2.14491289690503	3	4.3	2
6	2.05152065005069	3	4.3	2
7	1.96535015597428	3	4.3	2
8	1.89148613353614	3	4.3	2
9	1.80531563945972	3	4.3	2
10	1.73512425920768	3	4.3	2
11	1.65722066922873	3	4.3	2
12	1.6008881881968	3	4.3	2
13	1.52298459821785	3	4.3	2
14	1.4728767859913	3	4.3	2
15	1.39689883422238	3	4.3	2
16	1.34111618407487	3	4.3	2
17	1.27382587723532	3	4.3	2
18	1.22621719556472	3	4.3	2
19	1.17972217182238	3	4.3	2
20	1.13911623832331	3	4.3	2
1	2.92564191015579	4	4.5	2
2	1.35325022849383	4	4.5	2
3	1.25207298421222	4	4.5	2
4	1.16116232531496	4	4.5	2
5	1.09168086977501	4	4.5	2
6	1.05981841789675	4	4.5	2
7	1.01243321245755	4	4.5	2
8	0.971946839047541	4	4.5	2
9	0.933639845269266	4	4.5	2
10	0.910885808955933	4	4.5	2
11	0.872630503356259	4	4.5	2
12	0.849876467042927	4	4.5	2
13	0.816848054836653	4	4.5	2
14	0.79409401852332	4	4.5	2
15	0.770067424857537	4	4.5	2
16	0.747313388544204	4	4.5	2
17	0.727340642121328	4	4.5	2
18	0.707817858171369	4	4.5	2
19	0.687845111748493	4	4.5	2
20	0.669002822669638	4	4.5	2
1	12.4561151399877	5	1.7	2
2	2.72421995736104	5	1.7	2
3	2.47231520953638	5	1.7	2
4	2.29685739725158	5	1.7	2
5	2.13382330286411	5	1.7	2
6	1.95523311447292	5	1.7	2
7	1.78582245911432	5	1.7	2
8	1.68692319693727	5	1.7	2
9	1.55801203008203	5	1.7	2
10	1.445616366581	5	1.7	2
11	1.34671710440395	5	1.7	2
12	1.26152484852342	5	1.7	2
13	1.16262558634638	5	1.7	2
14	1.09683497529968	5	1.7	2
15	1.03853330065651	5	1.7	2
16	0.981085629590476	5	1.7	2
17	0.929415309002539	5	1.7	2
18	0.883998667128399	5	1.7	2
19	0.840605639438371	5	1.7	2
20	0.791469542182764	5	1.7	2
1	8.4467238620125	6	11.8	2
2	7.28515224091451	6	11.8	2
3	5.89156547295664	6	11.8	2
4	4.38528981590668	6	11.8	2
5	3.84154582527506	6	11.8	2
6	3.17389011017516	6	11.8	2
7	2.8871352982801	6	11.8	2
8	2.66398245122655	6	11.8	2
9	2.46825318457239	6	11.8	2
10	2.33214740932142	6	11.8	2
11	2.13641814266726	6	11.8	2
12	2.02089594834699	6	11.8	2
13	1.94445050029682	6	11.8	2
14	1.83953435134504	6	11.8	2
15	1.76308890329488	6	11.8	2
16	1.67680232563197	6	11.8	2
17	1.60035687758181	6	11.8	2
18	1.5243053285684	6	11.8	2
19	1.44832537402522	6	11.8	2
20	1.38047702830814	6	11.8	2
1	1.84905590588235	7	10.9	2
2	1.82209799824715	7	10.9	2
3	1.69283844605498	7	10.9	2
4	1.64489621878225	7	10.9	2
5	1.56659016878225	7	10.9	2
6	1.52634026557423	7	10.9	2
7	1.48645507929972	7	10.9	2
8	1.45079782132353	7	10.9	2
9	1.41257665465686	7	10.9	2
10	1.37817702043793	7	10.9	2
11	1.34090135743671	7	10.9	2
12	1.30650172321778	7	10.9	2
13	1.27573392169844	7	10.9	2
14	1.24796654310521	7	10.9	2
15	1.21719874158587	7	10.9	2
16	1.18852278739525	7	10.9	2
17	1.1611018310577	7	10.9	2
18	1.12998760728268	7	10.9	2
19	1.10259735728268	7	10.9	2
20	1.07864729668637	7	10.9	2
