group	x	xend	y	yend
1	0.0931535	158.8596675	0.229757066491931	0.229757066491931
2	0.0931535	60.3815305	-0.145507226326296	-0.145507226326296
3	60.3815305	158.8596675	0.430791509073124	0.430791509073124
4	0.0931535	60.3815305	-0.145507226326296	-0.145507226326296
5	60.3815305	148.1877815	0.413024401541059	0.413024401541059
6	148.1877815	158.8596675	0.599579030627745	0.599579030627745
7	0.0931535	55.2448415	-0.162146265930814	-0.162146265930814
8	55.2448415	64.1759375	0.0527340901525819	0.0527340901525819
9	64.1759375	148.1877815	0.416351410464501	0.416351410464501
10	148.1877815	158.8596675	0.599579030627745	0.599579030627745
11	0.0931535	60.3815305	-0.145507226326296	-0.145507226326296
12	60.3815305	98.1834835	0.416789197056935	0.416789197056935
13	98.1834835	99.8270215	0.984771612385425	0.984771612385425
14	99.8270215	148.1877815	0.396926246486351	0.396926246486351
15	148.1877815	158.8596675	0.599579030627745	0.599579030627745
16	0.0931535	55.2448415	-0.162146265930814	-0.162146265930814
17	55.2448415	64.1759375	0.0527340901525819	0.0527340901525819
18	64.1759375	98.1834835	0.424959857210937	0.424959857210937
19	98.1834835	99.8270215	0.984771612385425	0.984771612385425
20	99.8270215	148.1877815	0.396926246486351	0.396926246486351
21	148.1877815	158.8596675	0.599579030627745	0.599579030627745
22	0.0931535	55.2448415	-0.162146265930814	-0.162146265930814
23	55.2448415	64.1759375	0.0527340901525819	0.0527340901525819
24	64.1759375	97.2098965	0.43845659737326	0.43845659737326
25	97.2098965	98.1834835	0.0200576523412535	0.0200576523412535
26	98.1834835	99.8270215	0.984771612385425	0.984771612385425
27	99.8270215	148.1877815	0.396926246486351	0.396926246486351
28	148.1877815	158.8596675	0.599579030627745	0.599579030627745
29	0.0931535	55.2448415	-0.162146265930814	-0.162146265930814
30	55.2448415	64.1759375	0.0527340901525819	0.0527340901525819
31	64.1759375	97.2098965	0.43845659737326	0.43845659737326
32	97.2098965	98.1834835	0.0200576523412535	0.0200576523412535
33	98.1834835	99.8270215	0.984771612385425	0.984771612385425
34	99.8270215	148.1877815	0.396926246486351	0.396926246486351
35	148.1877815	150.1244145	0.893750501720566	0.893750501720566
36	150.1244145	158.8596675	0.557554534757342	0.557554534757342
37	0.0931535	42.9947915	-0.178600053871705	-0.178600053871705
38	42.9947915	44.3430635	0.306845500314283	0.306845500314283
39	44.3430635	55.2448415	-0.161403712836202	-0.161403712836202
40	55.2448415	64.1759375	0.0527340901525819	0.0527340901525819
41	64.1759375	97.2098965	0.43845659737326	0.43845659737326
42	97.2098965	98.1834835	0.0200576523412535	0.0200576523412535
43	98.1834835	99.8270215	0.984771612385425	0.984771612385425
44	99.8270215	148.1877815	0.396926246486351	0.396926246486351
45	148.1877815	158.8596675	0.599579030627745	0.599579030627745
46	0.0931535	14.7761035	-0.0777350678601534	-0.0777350678601534
47	14.7761035	42.9947915	-0.217024810447534	-0.217024810447534
48	42.9947915	44.3430635	0.306845500314283	0.306845500314283
49	44.3430635	55.2448415	-0.161403712836202	-0.161403712836202
50	55.2448415	64.1759375	0.0527340901525819	0.0527340901525819
51	64.1759375	97.2098965	0.43845659737326	0.43845659737326
52	97.2098965	98.1834835	0.0200576523412535	0.0200576523412535
53	98.1834835	99.8270215	0.984771612385425	0.984771612385425
54	99.8270215	148.1877815	0.396926246486351	0.396926246486351
55	148.1877815	158.8596675	0.599579030627745	0.599579030627745
56	0.0931535	14.7761035	-0.0777350678601534	-0.0777350678601534
57	14.7761035	42.9947915	-0.217024810447534	-0.217024810447534
58	42.9947915	44.3430635	0.306845500314283	0.306845500314283
59	44.3430635	55.2448415	-0.161403712836202	-0.161403712836202
60	55.2448415	64.1759375	0.0527340901525819	0.0527340901525819
61	64.1759375	97.2098965	0.43845659737326	0.43845659737326
62	97.2098965	98.1834835	0.0200576523412535	0.0200576523412535
63	98.1834835	99.8270215	0.984771612385425	0.984771612385425
64	99.8270215	148.1877815	0.396926246486351	0.396926246486351
65	148.1877815	150.1244145	0.893750501720566	0.893750501720566
66	150.1244145	158.8596675	0.557554534757342	0.557554534757342
67	0.0931535	14.7761035	-0.0777350678601534	-0.0777350678601534
